0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0.0380293,0.0380934,0.0381452,0.0381795,0.038192,0.0381804,0.038144,0.0380844,0.0380041,0.0379064,0.0377948,0.0376732,0.0375461,0.0374202,0.0373084,0.037246,0.0373103,0.0373994,0.0374846,0.0376137,0.0376354,0.038005,0.0376463,0.0380672,0.0376822,0.0381084,0.0376975,0.0381136,0.037677,0.0380498,0.0375976,0.0378616,0.0375156,0.0376956,0.0371431,0.0372775,0.036707,0.0366215,0.0360463,0.0360734,0.0355525,0.0358368,0.0352587,0.0355927,0.035015,0.03538,0.0348148,0.0352071,0.034652,0.0350729,0.0345215
-0.0703783,-0.0706087,-0.0708538,-0.0711135,-0.071387,-0.0716732,-0.071971,-0.0722795,-0.0725978,-0.0729245,-0.0732576,-0.0735935,-0.0739259,-0.0742434,-0.0745208,-0.0746903,-0.07461,-0.0744707,-0.0743325,-0.0741462,-0.0740711,-0.0736955,-0.073958,-0.0735828,-0.0738477,-0.0734888,-0.0737567,-0.0734253,-0.0736953,-0.0734206,-0.0736833,-0.0735132,-0.0736848,-0.073507,-0.073807,-0.0736625,-0.0739463,-0.0738478,-0.0742033,-0.0739597,-0.0743224,-0.0738997,-0.0743289,-0.0738862,-0.0743418,-0.0738998,-0.0743622,-0.0739176,-0.0743788,-0.0739247,-0.0743833
-0.00239983,-0.00234284,-0.00228536,-0.00223086,-0.0021838,-0.0021489,-0.00213041,-0.00213147,-0.00215397,-0.00219857,-0.00226478,-0.00235098,-0.00245404,-0.00256828,-0.00268191,-0.00276341,-0.0027411,-0.00269236,-0.00264445,-0.00257,-0.00255848,-0.00236221,-0.00251639,-0.00230698,-0.0024618,-0.00225773,-0.0024134,-0.00221856,-0.00237589,-0.00220007,-0.00235776,-0.00222104,-0.00233314,-0.00221273,-0.00236059,-0.00225824,-0.00240308,-0.00235646,-0.00252322,-0.00242192,-0.00259295,-0.00240441,-0.00259448,-0.00238885,-0.00258196,-0.00236922,-0.00256188,-0.00234306,-0.00253491,-0.00230893,-0.00250058
0.115531,0.115566,0.115593,0.115611,0.115622,0.115629,0.115633,0.11564,0.115651,0.11567,0.115699,0.115737,0.115784,0.115839,0.115895,0.115937,0.115933,0.115916,0.115898,0.11587,0.115862,0.115799,0.115835,0.11577,0.115803,0.115744,0.115771,0.115719,0.115736,0.115695,0.115694,0.115665,0.115623,0.115587,0.115535,0.11552,0.115465,0.115472,0.115444,0.115491,0.115462,0.115516,0.115455,0.115508,0.115427,0.115482,0.115391,0.115449,0.115353,0.115417,0.115318
-0.0254286,-0.0240315,-0.0224847,-0.0207941,-0.0189801,-0.0170747,-0.0151146,-0.0131353,-0.0111679,-0.00923938,-0.00737473,-0.00560168,-0.00395916,-0.00251726,-0.00143461,-0.00114442,-0.00241702,-0.00383933,-0.00505698,-0.00645772,-0.00702262,-0.00939431,-0.00760734,-0.00995121,-0.00815217,-0.0104211,-0.00861833,-0.0107828,-0.00900588,-0.0109565,-0.00933068,-0.0108132,-0.0100904,-0.0113908,-0.00996864,-0.0111285,-0.0101579,-0.011075,-0.00979071,-0.0113443,-0.0100984,-0.0122393,-0.0107294,-0.0129364,-0.0113198,-0.0135038,-0.0118457,-0.0140195,-0.0123493,-0.0145309,-0.0128584
0.0604507,0.0608951,0.0614082,0.061993,0.0626476,0.0633652,0.0641358,0.0649482,0.0657909,0.066653,0.0675226,0.0683856,0.069222,0.0699976,0.0706386,0.0709465,0.0705374,0.0700376,0.0695945,0.0689968,0.0687837,0.06751,0.0685094,0.0672008,0.0682225,0.0669445,0.0679874,0.0667748,0.0678274,0.0667706,0.0677689,0.0670442,0.0675636,0.066952,0.0679845,0.06748,0.0684266,0.0682832,0.0694569,0.0689637,0.0701049,0.0690137,0.0703444,0.0691512,0.0705133,0.0692873,0.0706324,0.0693804,0.070699,0.069415,0.0707118
0.00842348,0.00892401,0.00949128,0.0101238,0.010814,0.0115493,0.0123148,0.0130957,0.0138791,0.0146539,0.0154099,0.0161361,0.016818,0.0174302,0.0179167,0.0181231,0.0177564,0.0173169,0.0169353,0.0164716,0.0163204,0.0154406,0.0161565,0.0152667,0.0159827,0.0151162,0.015827,0.014992,0.0156829,0.01491,0.0155249,0.0148931,0.0151185,0.014565,0.0150434,0.0145348,0.0148417,0.0144738,0.0149419,0.0144065,0.0148658,0.0141388,0.0146635,0.0139026,0.0144427,0.0136824,0.0142258,0.0134664,0.0140104,0.013249,0.0137939
0.0758709,0.0758335,0.0757874,0.0757329,0.0756712,0.0756047,0.0755364,0.0754693,0.075406,0.0753488,0.0752994,0.0752593,0.0752295,0.0752111,0.0752051,0.0752121,0.0752253,0.0752349,0.0752411,0.0752386,0.0752503,0.0752029,0.0752509,0.0751941,0.0752409,0.075186,0.0752304,0.075179,0.0752206,0.0751752,0.0752131,0.075178,0.0751954,0.0751694,0.0751667,0.0751593,0.0751466,0.0751657,0.0751429,0.075206,0.0751754,0.0752609,0.0752,0.0753032,0.0752209,0.0753336,0.0752374,0.0753591,0.0752531,0.0753848,0.0752704
0.0111872,0.0110416,0.0108733,0.0106824,0.0104712,0.0102438,0.0100052,0.0097603,0.00951349,0.00926832,0.00902774,0.00879448,0.0085719,0.00836569,0.00818953,0.00808577,0.00815184,0.00823228,0.00828886,0.00839981,0.0083428,0.0088354,0.00825874,0.0088485,0.00823218,0.0088276,0.00816938,0.00873782,0.0080331,0.00850717,0.00775942,0.00802383,0.00739615,0.00757314,0.00665201,0.0067706,0.00582975,0.0056306,0.0046996,0.00464652,0.0037883,0.0041601,0.00321439,0.00366081,0.00272981,0.00322258,0.00232853,0.00285728,0.00199703,0.00256013,0.00172403
0.219203,0.219139,0.219058,0.218961,0.21885,0.218729,0.218603,0.218478,0.218357,0.218243,0.218138,0.218045,0.217963,0.217893,0.217833,0.217787,0.217766,0.217738,0.217698,0.217656,0.217583,0.217626,0.217515,0.217591,0.21748,0.217563,0.217448,0.21754,0.217417,0.217519,0.21738,0.217491,0.217352,0.217459,0.217341,0.217437,0.21734,0.217398,0.217303,0.217316,0.21722,0.217243,0.217154,0.217183,0.2171,0.217137,0.217057,0.2171,0.21702,0.217066,0.216985
